loan_id,customer_id,origination_date,product,channel,region,loan_purpose,risk_band,risk_score,original_amount_vnd,tenor_months,annual_interest_rate
LN0000001,CUS0000372,2023-03-01,Buy Now Pay Later,Digital,Hanoi,Home Improvement,B,753,3000000,3,0.2775
LN0000002,CUS0005854,2023-06-01,Credit Card,Digital,Ho Chi Minh City,Medical,A,848,28000000,36,0.3587
LN0000003,CUS0000258,2023-11-01,Personal Loan,Digital,Ho Chi Minh City,Electronics,A,773,30000000,36,0.1882
LN0000004,CUS0004386,2023-05-01,Credit Card,Partner,South,Medical,C,659,107000000,36,0.3033
LN0000005,CUS0002958,2023-10-01,Personal Loan,Digital,North,Electronics,D,625,118000000,18,0.2785
LN0000006,CUS0002075,2023-08-01,Personal Loan,Branch,Central,Other,A,850,211000000,36,0.2555
LN0000007,CUS0008635,2024-04-01,Personal Loan,Branch,South,Education,A,838,78000000,18,0.2148
LN0000008,CUS0008393,2023-12-01,Personal Loan,Digital,Central,Other,C,693,63000000,18,0.2601
LN0000009,CUS0002411,2023-12-01,Credit Card,Partner,North,Consumption,D,616,101000000,36,0.2502
LN0000010,CUS0005024,2023-06-01,Credit Card,Partner,Ho Chi Minh City,Home Improvement,A,836,55000000,36,0.3224
LN0000011,CUS0004595,2023-12-01,Personal Loan,Digital,Ho Chi Minh City,Education,C,654,195000000,36,0.2892
LN0000012,CUS0000068,2023-03-01,Credit Card,Telesales,Ho Chi Minh City,Home Improvement,A,822,85000000,36,0.2668
LN0000013,CUS0001115,2023-02-01,Personal Loan,Digital,South,Home Improvement,D,594,120000000,48,0.2181
LN0000014,CUS0007353,2023-04-01,Buy Now Pay Later,Digital,Hanoi,Other,A,840,5000000,9,0.2897
LN0000015,CUS0003782,2023-07-01,Installment Loan,Partner,North,Education,B,743,40000000,12,0.2394
LN0000016,CUS0003145,2024-02-01,Buy Now Pay Later,Partner,North,Home Improvement,A,809,13000000,9,0.2364
LN0000017,CUS0004049,2024-03-01,Installment Loan,Digital,Ho Chi Minh City,Electronics,B,715,52000000,12,0.3166
LN0000018,CUS0000458,2023-06-01,Installment Loan,Telesales,North,Home Improvement,B,730,24000000,12,0.2141
LN0000019,CUS0008311,2024-01-01,Credit Card,Digital,South,Medical,C,667,115000000,36,0.2714
LN0000020,CUS0005624,2024-03-01,Buy Now Pay Later,Telesales,Hanoi,Medical,B,715,21000000,9,0.2936
LN0000021,CUS0005629,2023-01-01,Personal Loan,Partner,South,Home Improvement,C,669,216000000,12,0.2582
LN0000022,CUS0003663,2023-05-01,Installment Loan,Branch,South,Other,D,597,50000000,9,0.2801
LN0000023,CUS0002208,2023-04-01,Buy Now Pay Later,Digital,North,Home Improvement,A,834,22000000,3,0.2637
LN0000024,CUS0000866,2023-12-01,Installment Loan,Partner,Hanoi,Electronics,D,631,9000000,12,0.217
LN0000025,CUS0006545,2023-11-01,Personal Loan,Digital,Ho Chi Minh City,Education,B,739,211000000,12,0.2686
LN0000026,CUS0007650,2024-04-01,Personal Loan,Partner,North,Home Improvement,C,685,294000000,36,0.2386
LN0000027,CUS0002773,2023-08-01,Credit Card,Telesales,Ho Chi Minh City,Home Improvement,D,628,44000000,36,0.3439
LN0000028,CUS0005618,2023-10-01,Installment Loan,Branch,South,Other,C,692,62000000,6,0.2537
LN0000029,CUS0008567,2023-09-01,Personal Loan,Telesales,Central,Medical,A,844,157000000,36,0.2916
LN0000030,CUS0001833,2024-02-01,Buy Now Pay Later,Partner,Ho Chi Minh City,Other,C,653,11000000,12,0.2822
LN0000031,CUS0003166,2024-01-01,Buy Now Pay Later,Digital,North,Other,C,693,11000000,3,0.2182
LN0000032,CUS0004901,2023-01-01,Buy Now Pay Later,Digital,Hanoi,Consumption,B,714,16000000,6,0.2634
LN0000033,CUS0000814,2023-03-01,Buy Now Pay Later,Branch,North,Consumption,C,660,2000000,9,0.2802
LN0000034,CUS0000233,2023-02-01,Personal Loan,Digital,Ho Chi Minh City,Electronics,B,747,101000000,18,0.2014
LN0000035,CUS0002653,2024-04-01,Personal Loan,Partner,Ho Chi Minh City,Electronics,B,720,106000000,48,0.1826
LN0000036,CUS0001367,2023-01-01,Credit Card,Partner,South,Home Improvement,B,736,77000000,36,0.3046
LN0000037,CUS0004522,2023-01-01,Installment Loan,Branch,South,Consumption,D,599,55000000,18,0.309
